               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11836,            0.041264,            0.039986,           0.0050291,            0.027778,          0.00097492,          0.00015989,             0.11764,            0.034559,            0.040006,               2e-05,               2e-05,             0.09982
                   1,             0.11502,            0.040945,            0.039894,           0.0032171,            0.027778,          0.00074801,          0.00013919,             0.11749,            0.034444,            0.039954,               5e-05,               5e-05,             0.09955
                   2,             0.11644,            0.040782,             0.04069,           0.0036533,            0.055556,           0.0014711,          0.00027945,             0.11719,            0.034398,            0.039929,          7.9997e-05,          7.9997e-05,             0.09928
                   3,             0.11593,            0.045753,            0.040037,           0.0056829,            0.083333,           0.0020897,          0.00026454,             0.11659,            0.034452,            0.039878,          0.00010999,          0.00010999,             0.09901
                   4,             0.11965,            0.037531,            0.040258,           0.0040244,            0.055556,           0.0020039,          0.00025813,             0.11602,            0.034455,            0.039829,          0.00013998,          0.00013998,             0.09874
                   5,             0.11562,            0.043054,            0.039803,           0.0042066,            0.055556,           0.0017993,          0.00023602,              0.1151,            0.034601,             0.03978,          0.00016996,          0.00016996,             0.09847
                   6,             0.11554,            0.038301,            0.041689,            0.004416,            0.055556,           0.0016535,          0.00024896,             0.11408,            0.034798,            0.039696,          0.00019994,          0.00019994,              0.0982
                   7,             0.11339,            0.036309,            0.040293,            0.004751,            0.055556,           0.0020663,          0.00023253,             0.11313,            0.035003,            0.039586,           0.0002299,           0.0002299,             0.09793
                   8,             0.11583,             0.04611,            0.040337,           0.0041785,            0.027778,           0.0016564,          0.00027893,             0.11206,            0.035218,            0.039477,          0.00025985,          0.00025985,             0.09766
                   9,             0.11409,            0.046442,             0.03957,           0.0055101,            0.055556,           0.0022418,          0.00032311,             0.11117,            0.035371,            0.039384,          0.00028979,          0.00028979,             0.09739
                  10,             0.11333,            0.041158,            0.038268,           0.0056887,            0.055556,           0.0023174,          0.00035589,             0.11016,            0.035551,            0.039271,          0.00031972,          0.00031972,             0.09712
                  11,             0.11294,            0.042845,            0.039606,           0.0055745,            0.055556,           0.0026253,           0.0004032,             0.10963,            0.035608,             0.03917,          0.00034962,          0.00034962,             0.09685
                  12,             0.11011,            0.037217,            0.041991,           0.0054426,            0.055556,           0.0024729,          0.00038845,             0.10906,            0.035768,            0.039113,          0.00037951,          0.00037951,             0.09658
                  13,             0.11136,            0.044571,            0.040309,           0.0057063,            0.055556,           0.0024897,          0.00039743,             0.10808,            0.035991,            0.038951,          0.00040938,          0.00040938,            0.096309
                  14,             0.10767,            0.041038,            0.039258,           0.0052303,            0.083333,           0.0025554,          0.00046781,             0.10743,            0.036127,            0.038878,          0.00043923,          0.00043923,            0.096039
                  15,              0.1089,            0.042422,            0.039241,           0.0060744,             0.10897,           0.0028292,          0.00053279,             0.10593,            0.036543,             0.03872,          0.00046906,          0.00046906,            0.095769
                  16,             0.10564,            0.038564,             0.03868,           0.0043927,            0.081197,           0.0020023,          0.00051593,             0.10494,            0.036845,            0.038617,          0.00049886,          0.00049886,            0.095499
