               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12353,            0.041859,            0.043645,           0.0023518,             0.16239,           0.0015425,          0.00030718,             0.12639,            0.035701,            0.044247,                   0,                   0,                 0.1
                   1,             0.12569,            0.041656,            0.041651,           0.0018028,            0.053419,           0.0011293,          0.00017576,             0.12599,            0.037211,            0.043602,          9.9998e-06,          9.9998e-06,             0.09991
                   2,             0.12497,            0.039844,             0.04503,           0.0018818,            0.053419,           0.0010296,          0.00019506,             0.12583,            0.036756,            0.043438,          1.9998e-05,          1.9998e-05,             0.09982
                   3,             0.12767,            0.042884,            0.040795,           0.0019756,            0.053419,            0.001029,          0.00021271,             0.12565,            0.036313,            0.043274,          2.9993e-05,          2.9993e-05,             0.09973
                   4,             0.12842,            0.041353,            0.042771,           0.0020212,            0.053419,           0.0010269,          0.00019655,             0.12549,            0.035745,            0.043139,          3.9984e-05,          3.9984e-05,             0.09964
                   5,             0.12419,            0.037796,            0.042327,           0.0021014,            0.053419,          0.00093424,            0.000189,             0.12521,            0.035077,            0.042998,          4.9969e-05,          4.9969e-05,             0.09955
                   6,             0.12477,            0.039435,            0.041251,           0.0022236,            0.053419,          0.00093961,          0.00016081,             0.12497,            0.034461,            0.042888,          5.9947e-05,          5.9947e-05,             0.09946
                   7,             0.12421,            0.038353,            0.043246,             0.00236,            0.053419,           0.0011856,          0.00025117,              0.1246,            0.033824,            0.042818,          6.9915e-05,          6.9915e-05,             0.09937
                   8,             0.12464,            0.040066,            0.043955,            0.002462,            0.053419,           0.0010743,          0.00024452,             0.12422,            0.033194,            0.042667,          7.9874e-05,          7.9874e-05,             0.09928
                   9,             0.12196,            0.038668,            0.041687,           0.0025403,            0.053419,           0.0010712,          0.00024732,             0.12388,            0.032685,            0.042475,           8.982e-05,           8.982e-05,             0.09919
                  10,             0.12239,            0.034665,            0.042245,           0.0025939,            0.053419,           0.0010741,          0.00024794,             0.12352,            0.032171,            0.042306,          9.9753e-05,          9.9753e-05,              0.0991
                  11,             0.12438,            0.040779,             0.04264,           0.0014553,            0.027778,          0.00075224,          0.00019363,             0.12305,            0.031721,            0.042099,          0.00010967,          0.00010967,             0.09901
                  12,             0.12283,            0.037397,            0.041396,           0.0014738,            0.027778,          0.00075191,           0.0001931,             0.12266,            0.031136,            0.041948,          0.00011957,          0.00011957,             0.09892
                  13,             0.12422,            0.035626,            0.040472,           0.0014786,            0.027778,          0.00053689,          0.00013926,             0.12228,            0.030659,            0.041768,          0.00012946,          0.00012946,            0.098829
                  14,             0.12191,            0.036823,            0.042533,           0.0015139,            0.027778,          0.00053657,          0.00013896,             0.12181,            0.030264,              0.0416,          0.00013932,          0.00013932,            0.098739
                  15,             0.12927,            0.032347,            0.043276,           0.0015747,            0.027778,           0.0005434,          0.00012931,             0.12137,            0.029819,            0.041398,          0.00014917,          0.00014917,            0.098649
                  16,             0.12526,            0.034738,            0.039591,           0.0016782,            0.027778,          0.00055177,          0.00013069,             0.12096,            0.029407,            0.041233,          0.00015899,          0.00015899,            0.098559
                  17,             0.12013,            0.032175,            0.041861,           0.0017297,            0.027778,           0.0005572,          0.00015505,             0.12033,             0.02913,            0.041005,          0.00016879,          0.00016879,            0.098469
                  18,             0.12398,            0.032704,            0.039971,           0.0019047,            0.027778,          0.00057182,          0.00015925,             0.11997,            0.028755,            0.040787,          0.00017857,          0.00017857,            0.098379
                  19,             0.12245,            0.031698,            0.041129,           0.0020812,            0.027778,          0.00058313,          0.00013607,             0.11942,            0.028472,            0.040603,          0.00018831,          0.00018831,            0.098288
